number of jobs,number of molds,class,instance number,execution time
150,5,1,669,0
150,5,1,670,0.002002
150,5,2,671,0.000998
150,5,2,672,0.000997
150,5,2,673,0
150,5,2,674,0
150,5,2,675,0
150,5,2,676,0
150,5,2,677,0
150,5,2,678,0.001001
150,5,2,679,0
150,5,2,680,0
150,5,3,681,0
150,5,3,682,0
150,5,3,683,0.001
150,5,3,684,0.001002
150,5,3,685,0.001
150,5,3,686,0.001001
150,5,3,687,0
150,5,3,688,0
150,5,3,689,0.001001
150,5,3,690,0
150,5,4,691,0.00101
150,5,4,692,0
150,5,4,693,0.000998
150,5,4,694,0.000996
150,5,4,695,0.001001
150,5,4,696,0
150,5,4,697,0
150,5,4,698,0
150,5,4,699,0.001006
150,5,4,700,0
150,5,5,701,0
150,5,5,702,0
150,5,5,703,0
150,5,5,704,0.001005
150,5,5,705,0.000999
150,5,5,706,0
150,5,5,707,0
150,5,5,708,0
150,5,5,709,0.001
150,5,5,710,0.001002
150,5,6,711,0.001002
150,5,6,712,0.000995
150,5,6,713,0.000998
150,5,6,714,0
150,5,6,715,0
150,5,6,716,0
150,5,6,717,0
150,5,6,718,0
150,5,6,719,0
150,5,6,720,0.000999
150,10,1,721,0.000999
150,10,1,722,0
150,10,1,723,0.001001
150,10,1,724,0.001
150,10,1,725,0.001
150,10,1,726,0
150,10,1,727,0.001002
150,10,1,728,0
150,10,1,729,0.001001
150,10,1,730,0
150,10,2,731,0
150,10,2,732,0
150,10,2,733,0.001
150,10,2,734,0.000997
150,10,2,735,0
150,10,2,736,0.001008
150,10,2,737,0
150,10,2,738,0
150,10,2,739,0.001009
150,10,2,740,0
150,10,3,741,0
150,10,3,742,0.000996
150,10,3,743,0
150,10,3,744,0.001003
150,10,3,745,0
150,10,3,746,0
150,10,3,747,0
150,10,3,748,0.001001
150,10,3,749,0.001001
150,10,3,750,0.001
150,10,4,751,0
150,10,4,752,0
150,10,4,753,0
150,10,4,754,0.000998
150,10,4,755,0
150,10,4,756,0.001003
150,10,4,757,0.000998
150,10,4,758,0.000998
150,10,4,759,0
150,10,4,760,0
150,10,5,761,0
150,10,5,762,0
150,10,5,763,0
150,10,5,764,0.000561
150,10,5,765,0.000554
150,10,5,766,0.000998
150,10,5,767,0.001
150,10,5,768,0.000999
150,10,5,769,0
150,10,5,770,0.000997
150,10,6,771,0
150,10,6,772,0
150,10,6,773,0.000994
150,10,6,774,0
150,10,6,775,0.000998
150,10,6,776,0
150,10,6,777,0
150,10,6,778,0
150,10,6,779,0.001001
150,10,6,780,0
150,15,1,781,0.001002
150,15,1,782,0.000997
150,15,1,783,0
150,15,1,784,0
150,15,1,785,0.001003
150,15,1,786,0.001014
150,15,1,787,0
150,15,1,788,0
150,15,1,789,0
150,15,1,790,0.000998
150,15,2,791,0
150,15,2,792,0
150,15,2,793,0
150,15,2,794,0
150,15,2,795,0.001
150,15,2,796,0
150,15,2,797,0
150,15,2,798,0
150,15,2,799,0.001001
150,15,2,800,0
150,15,3,801,0.000994
150,15,3,802,0.000997
150,15,3,803,0
150,15,3,804,0
150,15,3,805,0.000997
150,15,3,806,0
150,15,3,807,0.001004
150,15,3,808,0.000999
150,15,3,809,0.001
150,15,3,810,0
150,15,4,811,0
150,15,4,812,0
150,15,4,813,0
150,15,4,814,0
150,15,4,815,0.000999
150,15,4,816,0
150,15,4,817,0.001002
150,15,4,818,0
150,15,4,819,0
150,15,4,820,0
150,15,5,821,0
150,15,5,822,0
150,15,5,823,0
150,15,5,824,0.000993
150,15,5,825,0.000999
150,15,5,826,0
